Accident_Year,Accident_Date_Time,Operator_ID,Operator_Name,Accident_State,Cause_Category,Net_Loss,All_Costs
2010,1/1/2010 7:15 AM,32109,ONEOK NGL PIPELINE LP,KS,INCORRECT OPERATION,21.0,1627
2010,1/4/2010 8:30 AM,15786,PORTLAND PIPELINE CORP,ME,MATERIAL/WELD/EQUIP FAILURE,0.0,4008
2010,1/5/2010 10:30 AM,20160,"PETROLOGISTICS OLEFINS, LLC",LA,MATERIAL/WELD/EQUIP FAILURE,2.0,200
2010,1/6/2010 7:30 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",WI,NATURAL FORCE DAMAGE,0.0,11540
2010,1/7/2010 1:00 PM,300,"PLAINS PIPELINE, L.P.",TX,EXCAVATION DAMAGE,2.0,29650
2010,1/8/2010 11:38 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ND,MATERIAL/WELD/EQUIP FAILURE,2237.0,4194715
2010,1/9/2010 12:15 AM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",TX,MATERIAL/WELD/EQUIP FAILURE,5.0,70400
2010,1/9/2010 1:12 AM,12624,MOBIL CORP,TX,NATURAL FORCE DAMAGE,0.24,413
2010,1/10/2010 7:46 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",TX,MATERIAL/WELD/EQUIP FAILURE,0.0,40336
2010,1/11/2010 2:30 PM,31684,CONOCOPHILLIPS,TX,ALL OTHER CAUSES,0.0,30050
2010,1/11/2010 2:30 PM,32296,TARGA RESOURCES OPERATING LP,LA,NATURAL FORCE DAMAGE,2237.0,165593
2010,1/11/2010 2:47 PM,31454,"NUSTAR LOGISTICS, L.P.",TX,MATERIAL/WELD/EQUIP FAILURE,0.0,357269
2010,1/11/2010 3:00 PM,9175,JAYHAWK PIPELINE LLC,KS,CORROSION,1.0,12150
2010,1/11/2010 11:00 PM,31684,CONOCOPHILLIPS,OK,NATURAL FORCE DAMAGE,2.0,37850
2010,1/12/2010 10:25 AM,26085,"PLAINS MARKETING, L.P.",OK,CORROSION,0.0,20333
2010,1/12/2010 2:30 PM,32080,"CCPS TRANSPORTATION, LLC",IL,INCORRECT OPERATION,0.0,32500
2010,1/12/2010 7:08 PM,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",OK,MATERIAL/WELD/EQUIP FAILURE,445.0,2517615
2010,1/13/2010 7:36 AM,31174,"SHELL PIPELINE CO., L.P.",LA,NATURAL FORCE DAMAGE,3.49,254
2010,1/13/2010 1:30 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",TX,MATERIAL/WELD/EQUIP FAILURE,0.0,30504
2010,1/13/2010 3:30 PM,22855,"KOCH PIPELINE COMPANY, L.P.",MN,INCORRECT OPERATION,0.48,66679
2010,1/14/2010 1:15 PM,10250,KIANTONE PIPELINE CORP,NY,NATURAL FORCE DAMAGE,0.04,75017
2010,1/15/2010 7:05 AM,31325,PACIFIC PIPELINE SYSTEM LLC,CA,OTHER OUTSIDE FORCE DAMAGE,0.0,4575000
2010,1/15/2010 3:00 PM,9175,JAYHAWK PIPELINE LLC,KS,CORROSION,3.0,3880
2010,1/18/2010 10:00 AM,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",IN,MATERIAL/WELD/EQUIP FAILURE,2.0,1100
2010,1/19/2010 1:10 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",CO,MATERIAL/WELD/EQUIP FAILURE,0.89,26000
2010,1/19/2010 8:00 PM,4805,EXPLORER PIPELINE CO,IL,MATERIAL/WELD/EQUIP FAILURE,1.0,46185
2010,1/21/2010 9:30 AM,31325,PACIFIC PIPELINE SYSTEM LLC,CA,MATERIAL/WELD/EQUIP FAILURE,0.0,7807
2010,1/21/2010 12:30 PM,15674,PLANTATION PIPE LINE CO,LA,NATURAL FORCE DAMAGE,0.0,200570
2010,1/21/2010 6:43 PM,15674,PLANTATION PIPE LINE CO,MS,MATERIAL/WELD/EQUIP FAILURE,0.0,2800
2010,1/22/2010 12:05 PM,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,KS,INCORRECT OPERATION,0.0,8867
2010,1/24/2010 12:30 PM,19237,"TE PRODUCTS PIPELINE COMPANY, LLC",IN,MATERIAL/WELD/EQUIP FAILURE,1.0,2100
2010,1/25/2010 11:07 AM,11733,LOOP INC,LA,MATERIAL/WELD/EQUIP FAILURE,0.0,667000
2010,1/27/2010 3:30 PM,31174,"SHELL PIPELINE CO., L.P.",TX,ALL OTHER CAUSES,0.6,60065
2010,1/28/2010 11:00 AM,1248,BELLE FOURCHE PIPELINE CO,ND,OTHER OUTSIDE FORCE DAMAGE,7.0,11170
2010,2/2/2010 8:00 AM,31476,SEMGROUP LP,KS,MATERIAL/WELD/EQUIP FAILURE,5.0,6500
2010,2/4/2010 3:10 PM,22430,WEST SHORE PIPELINE CO,WI,NATURAL FORCE DAMAGE,0.05,4521
2010,2/6/2010 11:30 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",KS,MATERIAL/WELD/EQUIP FAILURE,1.33,4800
2010,2/8/2010 12:20 PM,31174,"SHELL PIPELINE CO., L.P.",LA,MATERIAL/WELD/EQUIP FAILURE,5.0,380400
2010,2/9/2010 10:00 AM,15674,PLANTATION PIPE LINE CO,LA,MATERIAL/WELD/EQUIP FAILURE,0.0,950
2010,2/9/2010 3:25 PM,1845,"BUCKEYE PARTNERS, LP",IN,NATURAL FORCE DAMAGE,0.0,5377
2010,2/16/2010 7:42 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",IL,MATERIAL/WELD/EQUIP FAILURE,0.0,30515
2010,2/17/2010 5:45 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",KS,MATERIAL/WELD/EQUIP FAILURE,0.0,1514
2010,2/19/2010 6:50 AM,1845,"BUCKEYE PARTNERS, LP",NJ,MATERIAL/WELD/EQUIP FAILURE,0.0,17100
2010,2/20/2010 6:30 AM,18718,SUNOCO PIPELINE L.P.,TX,MATERIAL/WELD/EQUIP FAILURE,2.0,93513
2010,2/21/2010 12:45 PM,300,"PLAINS PIPELINE, L.P.",TX,CORROSION,0.0,17485
2010,2/22/2010 10:38 AM,32035,LDH ENERGY PIPELINE L.P.,TX,CORROSION,1.0,26860
2010,2/22/2010 10:56 AM,31684,CONOCOPHILLIPS,WA,INCORRECT OPERATION,0.71,8790
2010,2/23/2010 11:30 PM,32109,ONEOK NGL PIPELINE LP,IA,INCORRECT OPERATION,28.0,129007
2010,2/25/2010 4:50 AM,32109,ONEOK NGL PIPELINE LP,OK,INCORRECT OPERATION,13718.0,1599786
2010,2/25/2010 10:00 AM,2552,COLONIAL PIPELINE CO,NC,MATERIAL/WELD/EQUIP FAILURE,0.0,15950
2010,3/1/2010 8:10 AM,12470,MID - VALLEY PIPELINE CO,TX,CORROSION,2.0,16018
2010,3/1/2010 9:16 AM,15774,ENBRIDGE PIPELINES (NORTH DAKOTA) LLC,MN,INCORRECT OPERATION,0.0,19080
2010,3/1/2010 11:50 AM,31672,"CHAPARRAL ENERGY, LLC",KS,ALL OTHER CAUSES,2.99,3510
2010,3/4/2010 5:30 AM,2552,COLONIAL PIPELINE CO,LA,MATERIAL/WELD/EQUIP FAILURE,0.8,65000
2010,3/4/2010 11:00 PM,4906,EXXONMOBIL PIPELINE CO,LA,MATERIAL/WELD/EQUIP FAILURE,0.31,13594
2010,3/8/2010 11:01 AM,15156,SINCLAIR TRANSPORTATION COMPANY,MO,MATERIAL/WELD/EQUIP FAILURE,1.0,11287
2010,3/8/2010 11:30 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",KS,NATURAL FORCE DAMAGE,93.0,85620
2010,3/9/2010 11:25 AM,18718,SUNOCO PIPELINE L.P.,TX,MATERIAL/WELD/EQUIP FAILURE,0.5,5039
2010,3/9/2010 2:15 PM,18718,SUNOCO PIPELINE L.P.,TX,MATERIAL/WELD/EQUIP FAILURE,0.95,26064
2010,3/11/2010 10:00 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",WI,NATURAL FORCE DAMAGE,0.0,8060
2010,3/14/2010 10:04 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",IA,NATURAL FORCE DAMAGE,70.0,511550
2010,3/15/2010 9:30 AM,18718,SUNOCO PIPELINE L.P.,TX,MATERIAL/WELD/EQUIP FAILURE,0.12,765
2010,3/15/2010 10:00 AM,30829,"TEPPCO CRUDE PIPELINE, LLC",NM,MATERIAL/WELD/EQUIP FAILURE,0.0,1160
